name	family	variant	linear
unknown	none	none	FALSE
linear_other	none	none	TRUE
linear_depth_stencil	none	none	TRUE
bt709_linear_rgb	bt709_linear	none	TRUE
bt709_linear_hsl	bt709_linear	hsl	FALSE
bt709_linear_hsv	bt709_linear	hsv	FALSE
bt709_linear_ycbcr	bt709_linear	ycbcr	FALSE
bt709_rgb	bt709	none	FALSE
bt709_hsl	bt709	hsl	FALSE
bt709_hsv	bt709	hsv	FALSE
bt709_ycbcr	bt709	ycbcr	FALSE
srgb	srgb	none	FALSE
srgb_hsl	srgb	hsl	FALSE
srgb_hsv	srgb	hsv	FALSE
srgb_ycbcr	srgb	ycbcr	FALSE
cie_xyz	cie	none	TRUE
cie_lab_d65	cie	none	FALSE
cie_lchab_d65	cie	none	FALSE
cie_luv_d65	cie	none	FALSE
cie_lchuv_d65	cie	none	FALSE
cie_xyy	cie	none	FALSE
