name	n_comp	word_size	n_words	w0	w1	w2	w3	b0	b1	b2	b3	o0	o1	o2	o3
s_8	1	1	1	0	0	0	0	8	0	0	0	0	0	0	0
s_8_8	2	1	2	0	1	0	0	8	8	0	0	0	0	0	0
s_8_8_8	3	1	3	0	1	2	0	8	8	8	0	0	0	0	0
s_8_8_8_8	4	1	4	0	1	2	3	8	8	8	8	0	0	0	0
s_16	1	2	1	0	0	0	0	16	0	0	0	0	0	0	0
s_16_16	2	2	2	0	1	0	0	16	16	0	0	0	0	0	0
s_16_16_16	3	2	3	0	1	2	0	16	16	16	0	0	0	0	0
s_16_16_16_16	4	2	4	0	1	2	3	16	16	16	16	0	0	0	0
s_32	1	4	1	0	0	0	0	32	0	0	0	0	0	0	0
s_32_32	2	4	2	0	1	0	0	32	32	0	0	0	0	0	0
s_32_32_32	3	4	3	0	1	2	0	32	32	32	0	0	0	0	0
s_32_32_32_32	4	4	4	0	1	2	3	32	32	32	32	0	0	0	0
s_64	1	8	1	0	0	0	0	64	0	0	0	0	0	0	0
s_64_64	2	8	2	0	1	0	0	64	64	0	0	0	0	0	0
s_64_64_64	3	8	3	0	1	2	0	64	64	64	0	0	0	0	0
s_64_64_64_64	4	8	4	0	1	2	3	64	64	64	64	0	0	0	0
p_4_4	2	1	1	0	0	0	0	4	4	0	0	4	0	0	0
p_3_3_2	3	1	1	0	0	0	0	3	3	2	0	5	2	0	0
p_2_3_3	3	1	1	0	0	0	0	2	3	3	0	6	3	0	0
p_3_2_3	3	1	1	0	0	0	0	3	2	3	0	5	3	0	0
p_4_4_4_4	4	2	1	0	0	0	0	4	4	4	4	12	8	4	0
p_1_5_5_5	4	2	1	0	0	0	0	1	5	5	5	15	10	5	0
p_5_5_5_1	4	2	1	0	0	0	0	5	5	5	1	11	6	1	0
p_5_6_5	3	2	1	0	0	0	0	5	6	5	0	11	5	0	0
p_8_24	2	4	1	0	0	0	0	8	24	0	0	24	0	0	0
p_24_8	2	4	1	0	0	0	0	24	8	0	0	8	0	0	0
p_11_11_10	3	4	1	0	0	0	0	11	11	10	0	21	10	0	0
p_10_11_11	3	4	1	0	0	0	0	10	11	11	0	22	11	0	0
p_11_10_11	3	4	1	0	0	0	0	11	10	11	0	21	11	0	0
p_8_8_8_8	4	4	1	0	0	0	0	8	8	8	8	24	16	8	0
p_9_9_9_5	4	4	1	0	0	0	0	9	9	9	5	23	14	5	0
p_5_9_9_9	4	4	1	0	0	0	0	5	9	9	9	27	18	9	0
p_10_10_10_2	4	4	1	0	0	0	0	10	10	10	2	22	12	2	0
p_2_10_10_10	4	4	1	0	0	0	0	2	10	10	10	30	20	10	0
s_32_p_24_8	3	4	2	0	1	1	0	32	24	8	0	32	8	0	0
c_astc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_atc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_bptc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_eac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_etc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_etc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_pvrtc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_pvrtc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_s3tc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_s3tc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_s3tc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_s3tc4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c_s3tc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
